code,description,conc_conversion_flag,conc_conversion_value_multiplier,conc_conversion_unit
%,percent,FALSE,NA,NA
% INHIB,percent inhibition,FALSE,NA,NA
% * g,percent multiplied by weight in grams,FALSE,NA,NA
% AE,percent acid equivalent,FALSE,NA,NA
% CEC,percent of soil cation exchange capacity,FALSE,NA,NA
% CNTL RI,percent of control Ratcliff Index,FALSE,NA,NA
% DT,percent of digestive tract,FALSE,NA,NA
% FATL,percent of total fatty acids,FALSE,NA,NA
% PC,percent of positive control,FALSE,NA,NA
% PLIPD,percent of total phospholipid,FALSE,NA,NA
% PRTL,percent of total protein,FALSE,NA,NA
% RI,percent Ratcliff Index,FALSE,NA,NA
% S/ppm Zn,percent sulfur per parts per million zinc,FALSE,NA,NA
% TIME,percent of time,FALSE,NA,NA
% WSF,percent water soluble fraction,FALSE,NA,NA
% act,percent activity,FALSE,NA,NA
% arb,percent arbuscularity,FALSE,NA,NA
% ash,percent ash,FALSE,NA,NA
% bt,percent bait,FALSE,NA,NA
% cell volume,percent cell volume,FALSE,NA,NA
% change,percent change,FALSE,NA,NA
% clitellate,percent clitellate,FALSE,NA,NA
% corn,percent corn pollen,FALSE,NA,NA
% cortex,percent of cortex,FALSE,NA,NA
% dev CNTL,percent deviation from control,FALSE,NA,NA
% diet,percent diet,FALSE,NA,NA
% dose ret,percent dose retained,FALSE,NA,NA
% dose/g TI,percent of dose per gram of tissue,FALSE,NA,NA
% dose/h,percent dose per hour,FALSE,NA,NA
% dry wght,percent of dry weight,FALSE,NA,NA
% earliness,percent earliness,FALSE,NA,NA
% fertile,percent fertile,FALSE,NA,NA
% g,percent grams,FALSE,NA,NA
% g/g,percent gram per gram,FALSE,NA,NA
% g/g bdwt,percent gram per gram body weight,FALSE,NA,NA
% ingested,percent of ingested,FALSE,NA,NA
% intake,percent of intake,FALSE,NA,NA
% lit,percent of litter,FALSE,NA,NA
% m,percent mass,FALSE,NA,NA
% m/v diet,percent mass per volume diet,FALSE,NA,NA
% mg,percent milligrams,FALSE,NA,NA
% mg/g bdwt,percent milligrams per gram body weight,FALSE,NA,NA
% of CNTL,percent of control value,FALSE,NA,NA
% of bdwt,percent of body weight,FALSE,NA,NA
% of diet,percent of diet,FALSE,NA,NA
% of initial,percent of initial value,FALSE,NA,NA
% of max yld,percent of maximum yield,FALSE,NA,NA
% of total,percent of total value,FALSE,NA,NA
% org,percent of organisms,FALSE,NA,NA
% prod,percent production [(# eggs/# hen days)*100],FALSE,NA,NA
